step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0,14.221912954830616,32.147919051487335,1.9082390908830877,6.7984069381772825
1,15.973434125320148,75.06820469208847,0.7578862003145913,6.799138236843717
2,4.924845930421791,127.46256043470456,0.9148909068520283,0.0
3,10.577464275540235,117.40780509778429,2.6784174050367264,1.441868633432521
4,9.523819207892489,88.4679404098557,0.9390850837534395,7.114366305603361
5,7.779832683891528,71.59405100669072,1.423870598427741,6.388326036751618
6,8.29955717684643,5.304544798890845,2.137952157884743,11.443865340234233
7,7.227323127061206,124.50561111385505,1.308987585468131,5.671781245739188
8,11.573657892644944,108.76135161419688,1.4190765035978505,2.8235534637761566
9,9.345462463331634,64.86590564660378,0.9573166148763768,7.205338853638599
10,2.445305649805327,100.44436793171371,0.15338132119567072,2.1595128918980517
11,9.650982809870037,33.1868574858409,1.210023910496453,12.53808180217947
12,14.110457101286132,117.25359540499473,2.484146333847758,11.24340678460197
13,9.689720902813395,66.26300397988715,2.5639158399088036,3.5849846671895165
14,17.67794557789586,112.44729930752081,1.4000713888003435,6.537427885543025
15,11.096506607383393,9.534709348547551,0.714272785085155,4.983493087723434
16,20.123780476238885,112.25841920499676,0.836429107589453,11.647622313795111
17,13.296969847463046,79.17354695129553,0.8175680160369345,1.561396170316364
18,1.8776680340154437,48.241728645782246,0.8934407456552816,4.318333212852479
19,8.041499371811984,0.0,0.7770826784487368,11.184573152638718
20,9.94790926270235,31.72621295107693,0.6091649454652152,5.6327612408928
21,8.73958659667319,51.20906266910336,0.785848095250354,7.983853717532915
22,0.0,27.18416070933401,1.1494778686847962,8.646121259688671
23,3.084242137459083,20.603769603524732,1.1943619708333235,7.750525201099457
24,10.503986346134367,108.44443106598348,1.396384642770258,10.837617966536545
25,9.194386468401712,148.54895346923053,1.7666503622827734,2.4811295920133896
26,10.001845056220178,109.31062626226162,0.6522507817102715,4.092965722177993
27,12.841804393464734,42.01088479237024,1.579100239607257,4.911967717171617
28,11.041746077611508,10.784002988924286,1.7402487060660814,2.967099155150247
29,8.439683942089202,61.296088962896,0.843198316019188,1.2021667349074212
30,13.979024806636765,80.76578204446658,1.1233978197592542,6.240985540859763
31,2.934551225221596,58.69975571663238,2.0626205398895814,9.487485607247368
32,11.899726213276002,92.74476297064955,1.8037572236240733,3.377766386032646
33,6.419378133740674,28.11035624745554,2.319046371713669,5.836046174496286
34,6.503717515349817,11.68984362328321,2.365070625759607,4.474788701956626
